Loading CUDA module...
Loading Conda...
Environment 'MBML' activated.
Starting Python script...
Using device: cuda
Using device: cuda
Saving visualizations to: /zhome/d2/4/167803/Desktop/Deep_project/02456-final-project/outputs_VAE
Dataset initialized with 512 total patches.
--- Labeled DataLoader success (using patched data) ---
Dataset initialized with 512 total patches.
--- Unlabeled DataLoader success (using patched data) ---
--- Training the VAE on Patched Volumetric Data ---
  Seg Loss: 0.3177 | Recon Loss: 0.0078 | KLD Loss: 0.0029
Epoch 63/400 | Avg Train Loss: 1.6580 | KLD Beta: 0.0500
  Seg Loss: 0.3300 | Recon Loss: 0.0079 | KLD Loss: 0.0028
Epoch 64/400 | Avg Train Loss: 1.6307 | KLD Beta: 0.0500
  Seg Loss: 0.3245 | Recon Loss: 0.0079 | KLD Loss: 0.0029
Epoch 65/400 | Avg Train Loss: 1.6001 | KLD Beta: 0.0500
  Seg Loss: 0.3184 | Recon Loss: 0.0079 | KLD Loss: 0.0028
Epoch 66/400 | Avg Train Loss: 1.6120 | KLD Beta: 0.0500
  Seg Loss: 0.3208 | Recon Loss: 0.0079 | KLD Loss: 0.0030
Epoch 67/400 | Avg Train Loss: 1.6148 | KLD Beta: 0.0500
  Seg Loss: 0.3213 | Recon Loss: 0.0079 | KLD Loss: 0.0029
Epoch 68/400 | Avg Train Loss: 1.6428 | KLD Beta: 0.0500
  Seg Loss: 0.3270 | Recon Loss: 0.0079 | KLD Loss: 0.0028
Epoch 69/400 | Avg Train Loss: 1.6326 | KLD Beta: 0.0500
  Seg Loss: 0.3249 | Recon Loss: 0.0078 | KLD Loss: 0.0029
Epoch 70/400 | Avg Train Loss: 1.6261 | KLD Beta: 0.0500
  Seg Loss: 0.3236 | Recon Loss: 0.0079 | KLD Loss: 0.0029
Epoch 71/400 | Avg Train Loss: 1.5929 | KLD Beta: 0.0500
  Seg Loss: 0.3170 | Recon Loss: 0.0078 | KLD Loss: 0.0029
Epoch 72/400 | Avg Train Loss: 1.6041 | KLD Beta: 0.0500
  Seg Loss: 0.3192 | Recon Loss: 0.0079 | KLD Loss: 0.0028
Epoch 73/400 | Avg Train Loss: 1.5729 | KLD Beta: 0.0500
  Seg Loss: 0.3130 | Recon Loss: 0.0079 | KLD Loss: 0.0030
Epoch 74/400 | Avg Train Loss: 1.6305 | KLD Beta: 0.0500
  Seg Loss: 0.3245 | Recon Loss: 0.0078 | KLD Loss: 0.0030
Epoch 75/400 | Avg Train Loss: 1.6064 | KLD Beta: 0.0500
  Seg Loss: 0.3197 | Recon Loss: 0.0079 | KLD Loss: 0.0030
Epoch 76/400 | Avg Train Loss: 1.5761 | KLD Beta: 0.0500
  Seg Loss: 0.3136 | Recon Loss: 0.0078 | KLD Loss: 0.0029
Epoch 77/400 | Avg Train Loss: 1.5979 | KLD Beta: 0.0500
  Seg Loss: 0.3180 | Recon Loss: 0.0078 | KLD Loss: 0.0030
Epoch 78/400 | Avg Train Loss: 1.5974 | KLD Beta: 0.0500
  Seg Loss: 0.3179 | Recon Loss: 0.0079 | KLD Loss: 0.0029
Epoch 79/400 | Avg Train Loss: 1.5949 | KLD Beta: 0.0500
  Seg Loss: 0.3174 | Recon Loss: 0.0079 | KLD Loss: 0.0029
  Visuals saved to: /zhome/d2/4/167803/Desktop/Deep_project/02456-final-project/outputs_VAE/AG_epoch_0080_predictions.png
Epoch 80/400 | Avg Train Loss: 1.5792 | KLD Beta: 0.0500
  Seg Loss: 0.3142 | Recon Loss: 0.0079 | KLD Loss: 0.0029
Epoch 81/400 | Avg Train Loss: 1.6243 | KLD Beta: 0.0500
  Seg Loss: 0.3233 | Recon Loss: 0.0079 | KLD Loss: 0.0029
Epoch 82/400 | Avg Train Loss: 1.5704 | KLD Beta: 0.0500
  Seg Loss: 0.3125 | Recon Loss: 0.0079 | KLD Loss: 0.0029
Epoch 83/400 | Avg Train Loss: 1.6028 | KLD Beta: 0.0500
  Seg Loss: 0.3190 | Recon Loss: 0.0078 | KLD Loss: 0.0030
Epoch 84/400 | Avg Train Loss: 1.5831 | KLD Beta: 0.0500
  Seg Loss: 0.3150 | Recon Loss: 0.0078 | KLD Loss: 0.0030
Epoch 85/400 | Avg Train Loss: 1.5963 | KLD Beta: 0.0500
  Seg Loss: 0.3177 | Recon Loss: 0.0079 | KLD Loss: 0.0029
Epoch 86/400 | Avg Train Loss: 1.5887 | KLD Beta: 0.0500
  Seg Loss: 0.3161 | Recon Loss: 0.0080 | KLD Loss: 0.0029
Epoch 87/400 | Avg Train Loss: 1.6059 | KLD Beta: 0.0500
  Seg Loss: 0.3196 | Recon Loss: 0.0078 | KLD Loss: 0.0030
Epoch 88/400 | Avg Train Loss: 1.5649 | KLD Beta: 0.0500
  Seg Loss: 0.3114 | Recon Loss: 0.0078 | KLD Loss: 0.0029
Epoch 89/400 | Avg Train Loss: 1.6128 | KLD Beta: 0.0500
  Seg Loss: 0.3210 | Recon Loss: 0.0078 | KLD Loss: 0.0029
Epoch 90/400 | Avg Train Loss: 1.6055 | KLD Beta: 0.0500
  Seg Loss: 0.3195 | Recon Loss: 0.0078 | KLD Loss: 0.0030
Epoch 91/400 | Avg Train Loss: 1.5851 | KLD Beta: 0.0500
  Seg Loss: 0.3154 | Recon Loss: 0.0079 | KLD Loss: 0.0029
Epoch 92/400 | Avg Train Loss: 1.6053 | KLD Beta: 0.0500
  Seg Loss: 0.3195 | Recon Loss: 0.0079 | KLD Loss: 0.0029
Epoch 93/400 | Avg Train Loss: 1.5845 | KLD Beta: 0.0500
  Seg Loss: 0.3153 | Recon Loss: 0.0079 | KLD Loss: 0.0029
Epoch 94/400 | Avg Train Loss: 1.5883 | KLD Beta: 0.0500
  Seg Loss: 0.3160 | Recon Loss: 0.0080 | KLD Loss: 0.0027
Epoch 95/400 | Avg Train Loss: 1.6094 | KLD Beta: 0.0500
  Seg Loss: 0.3203 | Recon Loss: 0.0079 | KLD Loss: 0.0029
Epoch 96/400 | Avg Train Loss: 1.5800 | KLD Beta: 0.0500
  Seg Loss: 0.3144 | Recon Loss: 0.0078 | KLD Loss: 0.0029
Epoch 97/400 | Avg Train Loss: 1.6172 | KLD Beta: 0.0500
  Seg Loss: 0.3219 | Recon Loss: 0.0078 | KLD Loss: 0.0027
Epoch 98/400 | Avg Train Loss: 1.5705 | KLD Beta: 0.0500
  Seg Loss: 0.3125 | Recon Loss: 0.0078 | KLD Loss: 0.0029
Epoch 99/400 | Avg Train Loss: 1.6191 | KLD Beta: 0.0500
  Seg Loss: 0.3222 | Recon Loss: 0.0079 | KLD Loss: 0.0029
  Visuals saved to: /zhome/d2/4/167803/Desktop/Deep_project/02456-final-project/outputs_VAE/AG_epoch_0100_predictions.png
Epoch 100/400 | Avg Train Loss: 1.5752 | KLD Beta: 0.0500
  Seg Loss: 0.3134 | Recon Loss: 0.0078 | KLD Loss: 0.0029
Epoch 101/400 | Avg Train Loss: 1.5836 | KLD Beta: 0.0500
  Seg Loss: 0.3151 | Recon Loss: 0.0079 | KLD Loss: 0.0029
Epoch 102/400 | Avg Train Loss: 1.6287 | KLD Beta: 0.0500
  Seg Loss: 0.3241 | Recon Loss: 0.0080 | KLD Loss: 0.0029
Epoch 103/400 | Avg Train Loss: 1.5708 | KLD Beta: 0.0500
  Seg Loss: 0.3125 | Recon Loss: 0.0079 | KLD Loss: 0.0030
Epoch 104/400 | Avg Train Loss: 1.5986 | KLD Beta: 0.0500
  Seg Loss: 0.3181 | Recon Loss: 0.0080 | KLD Loss: 0.0029
Epoch 105/400 | Avg Train Loss: 1.6041 | KLD Beta: 0.0500
  Seg Loss: 0.3192 | Recon Loss: 0.0078 | KLD Loss: 0.0030
Epoch 106/400 | Avg Train Loss: 1.5683 | KLD Beta: 0.0500
  Seg Loss: 0.3121 | Recon Loss: 0.0077 | KLD Loss: 0.0029
Epoch 107/400 | Avg Train Loss: 1.6107 | KLD Beta: 0.0500
  Seg Loss: 0.3205 | Recon Loss: 0.0079 | KLD Loss: 0.0029
Epoch 108/400 | Avg Train Loss: 1.5881 | KLD Beta: 0.0500
  Seg Loss: 0.3160 | Recon Loss: 0.0080 | KLD Loss: 0.0030
Epoch 109/400 | Avg Train Loss: 1.6001 | KLD Beta: 0.0500
  Seg Loss: 0.3184 | Recon Loss: 0.0079 | KLD Loss: 0.0029
Epoch 110/400 | Avg Train Loss: 1.5819 | KLD Beta: 0.0500
  Seg Loss: 0.3148 | Recon Loss: 0.0079 | KLD Loss: 0.0030
Epoch 111/400 | Avg Train Loss: 1.5787 | KLD Beta: 0.0500
  Seg Loss: 0.3141 | Recon Loss: 0.0079 | KLD Loss: 0.0031
Epoch 112/400 | Avg Train Loss: 1.5439 | KLD Beta: 0.0500
  Seg Loss: 0.3072 | Recon Loss: 0.0079 | KLD Loss: 0.0030
Epoch 113/400 | Avg Train Loss: 1.5972 | KLD Beta: 0.0500
  Seg Loss: 0.3178 | Recon Loss: 0.0079 | KLD Loss: 0.0029
Epoch 114/400 | Avg Train Loss: 1.6002 | KLD Beta: 0.0500
  Seg Loss: 0.3184 | Recon Loss: 0.0078 | KLD Loss: 0.0029
Epoch 115/400 | Avg Train Loss: 1.5951 | KLD Beta: 0.0500
  Seg Loss: 0.3174 | Recon Loss: 0.0079 | KLD Loss: 0.0029
Epoch 116/400 | Avg Train Loss: 1.5870 | KLD Beta: 0.0500
  Seg Loss: 0.3158 | Recon Loss: 0.0079 | KLD Loss: 0.0029
Epoch 117/400 | Avg Train Loss: 1.5875 | KLD Beta: 0.0500
  Seg Loss: 0.3159 | Recon Loss: 0.0078 | KLD Loss: 0.0030
Epoch 118/400 | Avg Train Loss: 1.5772 | KLD Beta: 0.0500
  Seg Loss: 0.3138 | Recon Loss: 0.0078 | KLD Loss: 0.0030
Epoch 119/400 | Avg Train Loss: 1.5664 | KLD Beta: 0.0500
  Seg Loss: 0.3117 | Recon Loss: 0.0078 | KLD Loss: 0.0029
  Visuals saved to: /zhome/d2/4/167803/Desktop/Deep_project/02456-final-project/outputs_VAE/AG_epoch_0120_predictions.png
Epoch 120/400 | Avg Train Loss: 1.5830 | KLD Beta: 0.0500
  Seg Loss: 0.3150 | Recon Loss: 0.0078 | KLD Loss: 0.0030
Epoch 121/400 | Avg Train Loss: 1.5650 | KLD Beta: 0.0500
  Seg Loss: 0.3114 | Recon Loss: 0.0078 | KLD Loss: 0.0029
Epoch 122/400 | Avg Train Loss: 1.6032 | KLD Beta: 0.0500
  Seg Loss: 0.3190 | Recon Loss: 0.0079 | KLD Loss: 0.0029
Epoch 123/400 | Avg Train Loss: 1.5827 | KLD Beta: 0.0500
  Seg Loss: 0.3149 | Recon Loss: 0.0079 | KLD Loss: 0.0029
Epoch 124/400 | Avg Train Loss: 1.5870 | KLD Beta: 0.0500
  Seg Loss: 0.3158 | Recon Loss: 0.0079 | KLD Loss: 0.0029
Epoch 125/400 | Avg Train Loss: 1.5539 | KLD Beta: 0.0500
  Seg Loss: 0.3092 | Recon Loss: 0.0079 | KLD Loss: 0.0030
Epoch 126/400 | Avg Train Loss: 1.5777 | KLD Beta: 0.0500
  Seg Loss: 0.3139 | Recon Loss: 0.0079 | KLD Loss: 0.0029
Epoch 127/400 | Avg Train Loss: 1.5700 | KLD Beta: 0.0500
  Seg Loss: 0.3124 | Recon Loss: 0.0079 | KLD Loss: 0.0028
Epoch 128/400 | Avg Train Loss: 1.5645 | KLD Beta: 0.0500
  Seg Loss: 0.3113 | Recon Loss: 0.0079 | KLD Loss: 0.0029
Epoch 129/400 | Avg Train Loss: 1.5807 | KLD Beta: 0.0500
  Seg Loss: 0.3145 | Recon Loss: 0.0079 | KLD Loss: 0.0030
Epoch 130/400 | Avg Train Loss: 1.5888 | KLD Beta: 0.0500
  Seg Loss: 0.3161 | Recon Loss: 0.0080 | KLD Loss: 0.0029
Epoch 131/400 | Avg Train Loss: 1.6085 | KLD Beta: 0.0500
  Seg Loss: 0.3201 | Recon Loss: 0.0078 | KLD Loss: 0.0030
Epoch 132/400 | Avg Train Loss: 1.6089 | KLD Beta: 0.0500
  Seg Loss: 0.3202 | Recon Loss: 0.0079 | KLD Loss: 0.0030
Epoch 133/400 | Avg Train Loss: 1.5800 | KLD Beta: 0.0500
  Seg Loss: 0.3144 | Recon Loss: 0.0079 | KLD Loss: 0.0031
Epoch 134/400 | Avg Train Loss: 1.5789 | KLD Beta: 0.0500
  Seg Loss: 0.3141 | Recon Loss: 0.0080 | KLD Loss: 0.0030
Epoch 135/400 | Avg Train Loss: 1.5640 | KLD Beta: 0.0500
  Seg Loss: 0.3112 | Recon Loss: 0.0079 | KLD Loss: 0.0028
Epoch 136/400 | Avg Train Loss: 1.6083 | KLD Beta: 0.0500
  Seg Loss: 0.3201 | Recon Loss: 0.0079 | KLD Loss: 0.0028
Epoch 137/400 | Avg Train Loss: 1.6251 | KLD Beta: 0.0500
  Seg Loss: 0.3234 | Recon Loss: 0.0079 | KLD Loss: 0.0029
Epoch 138/400 | Avg Train Loss: 1.6082 | KLD Beta: 0.0500
  Seg Loss: 0.3200 | Recon Loss: 0.0079 | KLD Loss: 0.0029
Epoch 139/400 | Avg Train Loss: 1.5916 | KLD Beta: 0.0500
  Seg Loss: 0.3167 | Recon Loss: 0.0079 | KLD Loss: 0.0028
  Visuals saved to: /zhome/d2/4/167803/Desktop/Deep_project/02456-final-project/outputs_VAE/AG_epoch_0140_predictions.png
Epoch 140/400 | Avg Train Loss: 1.5969 | KLD Beta: 0.0500
  Seg Loss: 0.3178 | Recon Loss: 0.0079 | KLD Loss: 0.0030
Epoch 141/400 | Avg Train Loss: 1.5608 | KLD Beta: 0.0500
  Seg Loss: 0.3105 | Recon Loss: 0.0080 | KLD Loss: 0.0029
Epoch 142/400 | Avg Train Loss: 1.6061 | KLD Beta: 0.0500
  Seg Loss: 0.3196 | Recon Loss: 0.0079 | KLD Loss: 0.0031
Epoch 143/400 | Avg Train Loss: 1.5375 | KLD Beta: 0.0500
  Seg Loss: 0.3059 | Recon Loss: 0.0077 | KLD Loss: 0.0029
Epoch 144/400 | Avg Train Loss: 1.5585 | KLD Beta: 0.0500
  Seg Loss: 0.3101 | Recon Loss: 0.0078 | KLD Loss: 0.0030
Epoch 145/400 | Avg Train Loss: 1.5782 | KLD Beta: 0.0500
  Seg Loss: 0.3140 | Recon Loss: 0.0079 | KLD Loss: 0.0030
Epoch 146/400 | Avg Train Loss: 1.5640 | KLD Beta: 0.0500
  Seg Loss: 0.3112 | Recon Loss: 0.0078 | KLD Loss: 0.0027
Epoch 147/400 | Avg Train Loss: 1.6055 | KLD Beta: 0.0500
  Seg Loss: 0.3195 | Recon Loss: 0.0078 | KLD Loss: 0.0030
Epoch 148/400 | Avg Train Loss: 1.5783 | KLD Beta: 0.0500
  Seg Loss: 0.3141 | Recon Loss: 0.0079 | KLD Loss: 0.0029
Epoch 149/400 | Avg Train Loss: 1.5858 | KLD Beta: 0.0500
  Seg Loss: 0.3155 | Recon Loss: 0.0079 | KLD Loss: 0.0029
Epoch 150/400 | Avg Train Loss: 1.5741 | KLD Beta: 0.0500
  Seg Loss: 0.3132 | Recon Loss: 0.0079 | KLD Loss: 0.0030
Epoch 151/400 | Avg Train Loss: 1.5801 | KLD Beta: 0.0500
  Seg Loss: 0.3144 | Recon Loss: 0.0079 | KLD Loss: 0.0029
Epoch 152/400 | Avg Train Loss: 1.5661 | KLD Beta: 0.0500
  Seg Loss: 0.3116 | Recon Loss: 0.0078 | KLD Loss: 0.0029
Epoch 153/400 | Avg Train Loss: 1.5480 | KLD Beta: 0.0500
  Seg Loss: 0.3080 | Recon Loss: 0.0079 | KLD Loss: 0.0030
Epoch 154/400 | Avg Train Loss: 1.5700 | KLD Beta: 0.0500
  Seg Loss: 0.3124 | Recon Loss: 0.0079 | KLD Loss: 0.0030
